,전통주이름,상품명,가격
182,마주 소곡주,마주 소곡주,"￦17,000 (가격은 판매처 별로 상이할 수 있습니다)"
183,마주 소곡화주,마주 소곡화주,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)"
184,막시모 40,막시모40,"￦49,000 (가격은 판매처 별로 상이할 수 있습니다)"
185,만강에 비친 달,만강에 비친 달,"￦12,000 (가격은 판매처 별로 상이할 수 있습니다.)"
186,만품 산삼가득,산삼가득막걸리,"￦12,000 (가격은 판매처 별로 상이할 수 있습니다.)"
187,말이야 막걸리야,동곡 막걸리,"￦12,000 (가격은 판매처 별로 상이할 수 있습니다.)"
188,맑은 문희주,맑은 문희주,"￦36,000 (가격은 판매처 별로 상이할 수 있습니다.)"
189,맑은내일 Winery 단감명작,맑은 내일,"￦36,000 (가격은 판매처 별로 상이할 수 있습니다.)"
190,맑은내일 발효 막걸리,맑은내일 발효막걸리,"750ml ￦2,200, 
                                        1,000ml ￦6,500 (가격은 판매처 별로 상이할 수 있습니다)"
191,맑은내일 스파클링 막걸리,맑은내일 발효막걸리,"750ml ￦2,200, 
                                        1,000ml ￦6,500 (가격은 판매처 별로 상이할 수 있습니다)"
192,맑은내일 우포,맑은내일 우포,"325ml ￦5,000, 
                                        500ml ￦7,000 (가격은 판매처 별로 상이할 수 있습니다)"
193,맑은내일 운암1945,맑은 내일,"325ml ￦5,000, 
                                        500ml ￦7,000 (가격은 판매처 별로 상이할 수 있습니다)"
194,맑은바당,제주도에 흠뻑 취하다 <제주 주류기행> ,"325ml ￦5,000, 
                                        500ml ￦7,000 (가격은 판매처 별로 상이할 수 있습니다)"
195,맑은술 해밀,맑은술 해밀,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)"
196,매실 막걸리,매실 막걸리,"￦3,500(가격은 판매처 별로 상이할 수 있습니다.)"
197,매실원주 허니,매실원주 15도,"￦6,000(가격은 판매처 별로 상이할 수 있습니다.)"
198,매실탁테일,탁테일 '매실',"￦6,000(가격은 판매처 별로 상이할 수 있습니다.)"
199,매실향기 담은 술,매실향기 담은 술,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)"
200,매아랑,매아랑,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)"
201,매화깊은밤,매화주,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)"
202,매화마름,매화마름,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)"
203,매화마름 호랑이 막걸리,호랑이 막걸리,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)"
204,머루이야기,머루 이야기,"￦6,000(가격은 판매처 별로 상이할 수 있습니다.)"
205,메로니아,메로니아,"￦2,000 (가격은 판매처 별로 상이할 수 있습니다.)"
206,메로니아,메로니아,"￦2,000 (가격은 판매처 별로 상이할 수 있습니다.)"
207,메밀로,메밀로,"￦150,000 (가격은 판매처 별로 상이할 수 있습니다)"
208,메밀이슬,메밀,"￦150,000 (가격은 판매처 별로 상이할 수 있습니다)"
209,멜론서리,,
210,면천두견주 360,면천두견주 360,"￦32,000(360ml*4병)(가격은 판매처 별로 상이할 수 있습니다.)"
211,면천두견주 700,면천두견주 700,"￦30,000(700ml*2병)(가격은 판매처 별로 상이할 수 있습니다.)"
212,명가원 복분자술,복분자주,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)"
213,명랑 스컬,,
214,명인 안동소주,명인안동소주,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)"
215,명인 안동소주 22%,명인 안동소주 22도,"￦27,000(360ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)"
216,명인 안동소주 양반탈,명인 안동소주 양반탈,"￦35,000(가격은 판매처 별로 상이할 수 있습니다.)"
217,명인 안동소주 하회탈,안동 농특산품 & 안동 전통음식 ,"￦35,000(가격은 판매처 별로 상이할 수 있습니다.)"
218,명인 홍삼주,명인 홍삼주,"￦12,000(375ml*3병)(가격은 판매처 별로 상이할 수 있습니다.)"
219,명작복분자,명작 복분자,"￦78,000(375ml*12병)(가격은 판매처 별로 상이할 수 있습니다.)"
220,명품홍주,,
221,모든날에,모든 성인의 날 대축일,"￦78,000(375ml*12병)(가격은 판매처 별로 상이할 수 있습니다.)"
222,모리,모리,"￦78,000(375ml*12병)(가격은 판매처 별로 상이할 수 있습니다.)"
223,모월 로,모월 로,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)"
224,모월 연,모월 연,"￦18,000 (가격은 판매처 별로 상이할 수 있습니다)"
225,모월 인,모월 인,"￦40,000 (가격은 판매처 별로 상이할 수 있습니다)"
226,모월 청,모월 청,"￦21,000 (가격은 판매처 별로 상이할 수 있습니다)"
227,모월로미니,일련사건 2,"￦21,000 (가격은 판매처 별로 상이할 수 있습니다)"
228,모월인미니,일련사건 2,"￦21,000 (가격은 판매처 별로 상이할 수 있습니다)"
229,모을동주 약주,모을동주 약주,"￦13,000 (가격은 판매처 별로 상이할 수 있습니다)"
230,무주구천동머루와인,무주 구천동 머루와인,"￦25,000(가격은 판매처 별로 상이할 수 있습니다.)"
231,무주구천동산머루주,무주 구천동 산머루주,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
232,문경바람 백자 25,문경바람 백자 25%,"￦30,000(750ml), ￦16,000(375ml)(가격은 판매처 별로 상이할 수 있습니다.)"
233,문경바람 백자 40,문경바람 백자 40%,"￦40,000(750ml), ￦24,000(375ml)(가격은 판매처 별로 상이할 수 있습니다.)"
234,문경바람 오크,문경바람 오크,"￦44,000(750ml), ￦28,000(375ml)(가격은 판매처 별로 상이할 수 있습니다.)"
235,문배술,문배술,"￦44,000(750ml), ￦28,000(375ml)(가격은 판매처 별로 상이할 수 있습니다.)"
236,문배술 헤리티지 25도,문배술 헤리티지 25도,"￦55,000(375ml*9병)(가격은 판매처 별로 상이할 수 있습니다.)"
237,문배술 헤리티지 40도,문배술 헤리티지 40도,"￦48,000(200ml*4병)(가격은 판매처 별로 상이할 수 있습니다.)"
238,문삼이공(moon320) 잣 주,,
239,문희 탁주,문희 (오미자),"￦21,000 / ￦18,000 (가격은 판매처별로 상이할 수 있습니다.)"
240,미담,미담,"￦21,000 / ￦18,000 (가격은 판매처별로 상이할 수 있습니다.)"
241,미르,몰약,"￦21,000 / ￦18,000 (가격은 판매처별로 상이할 수 있습니다.)"
242,미르아토 로제와인,도쿄 역 & 긴자 & 오다이바,"￦21,000 / ￦18,000 (가격은 판매처별로 상이할 수 있습니다.)"
243,미르아토 증류주 tears of god,,
244,미르아토 청수 스위트 (화이트)와인,포엠 화이트와인,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)"
245,미상25,,
246,미생 막걸리,미생 막걸리,"￦1,100(가격은 판매처 별로 상이할 수 있습니다.)"
247,미소 생막걸리,미소 생막걸리,"￦1,500(가격은 판매처 별로 상이할 수 있습니다.)"
248,미소 아이스,미소 아이스,"￦40,000 (가격은 판매처 별로 상이할 수 있습니다.)"
249,미인약주,미인탁주,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
250,미인탁주,미인탁주,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
251,민들레대포,배상면주가,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
252,민속주 안동소주,경상 · 대구 · 부산 · 울산 지역 술 ,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
253,바나나 주,바나나 주,"￦1,700 (가격은 판매처 별로 상이할 수 있습니다.)"
254,바랑 탁,바랑 탁,"￦18,000 (가격은 판매처 별로 상이할 수 있습니다)"
255,밤꽃향기,밤꽃향기,"￦4,000(가격은 판매처 별로 상이할 수 있습니다.)"
256,밤빛머루,밤,"￦4,000(가격은 판매처 별로 상이할 수 있습니다.)"
257,방문주 약주,방문주 약주,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다)"
258,방문주 탁주,방문주 탁주,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)"
259,배꽃 필 무렵,보리필무렵,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)"
260,배꽃담은연,배꽃담은 연 생막걸리,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
261,배도가 로아 40도 옐로우,배도가 로아 40도 옐로우,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
262,배도가 심플리 애플,,
263,백년친구 쌀막걸리,경상 · 대구 · 부산 · 울산 지역 술 ,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
264,백년친구 풍기홍삼막걸리,남은 이야기,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
265,백년향,백년향,"￦33,000(500ml*3병)(가격은 판매처 별로 상이할 수 있습니다)"
266,백련 맑은술,백련 맑은술,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다.)"
267,백련 생막걸리 snow (스노우),백련 생막걸리 snow (스노우),"￦1,600 (가격은 판매처 별로 상이할 수 있습니다.)"
268,백수환동주,백수환동주,"￦1,600 (가격은 판매처 별로 상이할 수 있습니다.)"
269,백운 복분자 와인,백운 복분자 와인,"￦7,000(가격은 판매처 별로 상이할 수 있습니다.)"
270,백운복분자주,백운 복분자주,"￦7,000(가격은 판매처 별로 상이할 수 있습니다.)"
271,백이주,,
272,백자주,백자주,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
273,백제한산군주,한산주,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
274,뱅꼬레 레드와인,뱅꼬레 레드와인,"￦25,000(가격은 판매처 별로 상이할 수 있습니다.)"
275,뱅꼬레 로제와인,뱅꼬레 로제와인,"￦23,000(가격은 판매처 별로 상이할 수 있습니다.)"
